"","Company","Title","Category","Location","Responsibilities","Minimum.Qualifications","Preferred.Qualifications","city","country","job_type","experience","domain","positions","education"
"1","Google","google cloud program manager","Program Management","Singapore","Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations.","ba/bs degree or equivalent practical experience.
3 years of experience in program and/or project management in cloud computing, enterprise software and/or marketing technologies.","experience in the business technology market as a program manager in saas, cloud computing, and/or emerging technologies.
significant cross-functional experience across engineering, sales, and marketing teams in cloud computing or related technical fields.
proven successful program outcomes from idea to launch in multiple contexts throughout your career.
ability to manage the expectations, demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health.
ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization.
strong organization and communication skills.","Singapore","Singapore","Full-time",3,"cloud","manager","bs"
"2","Google","supplier development engineer (sde), cable/connector","Manufacturing & Supply Chain","Shanghai, China","Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production.
Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements, and propose and develop the manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and validation plans for engineering builds and mass production.
Drive project technical and operational issues with material, process, fixtures, equipment, etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain.
Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production.
Utilize DOE’s, FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters.","bs degree in an engineering discipline or equivalent practical experience.
7 years of experience in cable/connector design or manufacturing in an npi role.
experience working with interconnect engineering and product design (pd)/mechanical engineer in developing, manufacturing and testing.
ability to speak and write in english and mandarin fluently and idiomatically.","bsee, bsme or bsie degree.
experience of using statistics tools for data analysis, e.g. distribution histogram/pareto chart, process control chart, design of experiment (doe), correlation analysis, etc.
demonstrated knowledge in pcba manufacturing process and quality control.
familar with cable/connector related components' manufacturing: moldling, stamping, die-casting, lim, mim process and materials.
self starter with innovation, integrity and attention to detail.
ability to travel up to 50% of the time","Shanghai"," China","Full-time",7,"supplier","engineer","bs"
"3","Google","data analyst, product and tools operations, google technical services","Technical Solutions","New York, NY, United States","Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.","bachelor’s degree in business, economics, statistics, operations research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. experience with r, sas or python.
1 year of experience developing and manipulating large datasets.","experience partnering or consulting cross-functionally with senior stakeholders.
proficiency in a database query language (e.g. sql).
ability to manage multiple projects in an ambiguous environment.
strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.","New York"," United States","Full-time",2,"other","analyst","bachelor"
"4","Google","developer advocate, partner engineering","Developer Relations","Mountain View, CA, United States","Work one-on-one with the top Android, iOS, and web engineers to build exciting new product/API integrations that drive adoption of Google’s developer platforms.
Conceive new features and ideas that can change how users interact with apps and Google, and help developers build them.
Conduct regular, engineering-focused meetings with developers to help them design new systems, fix bugs, improve UX, and solve complex code issues.
Work on the source code of Google's products with other engineers to identify, reproduce, and/or fix bugs that are affecting developers.","ba/bs degree in computer science or equivalent practical experience.
experience working directly with partners.
programming experience in one or more of the following languages/platforms: android, java, kotlin, ios, javascript.","experience as a software developer, architect, technology advocate, cto, or consultant working with web or mobile technologies.
experience working with third parties.
experience interacting with clients or internal stakeholders.
knowledge of web application or mobile application development landscapes.","Mountain View"," United States","Full-time",0,"partner","engineer","ms"
"5","Google","program manager, audio visual (av) deployments","Program Management","Sunnyvale, CA, United States","Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives.","ba/bs degree or equivalent practical experience.
4 years of experience managing large scale global av deployments.
experience managing vendors to deliver defined projects.
experience in audio/visual and video conferencing design, system integration and resolution.","cts certification.
experience in the construction sector.
experience with project management software and reporting tools.
ability to understand technical subjects and emerging technologies and their relevance to the marketplace.
business management and consulting skills.
excellent interpersonal and relationship building skills across multiple stakeholders at varying levels.","Sunnyvale"," United States","Full-time",4,"other","manager","bs"
"6","Google","associate account strategist (czech/slovak), global customer experience","Technical Solutions","Dublin, Ireland","Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers.","bachelor's degree or equivalent practical experience.
ability to speak and write in english and czech and/or slovak fluently and idiomatically.","experience in sales, customer service, account management, marketing or consulting.
experience in managing and customizing experience to a specific customer base.
experience with leading, motivating and working effectively within a team.
demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
ability to work towards strategic goals.
effective organizational skills, with the ability to work independently and proactively.","Dublin"," Ireland","Full-time",0,"account","strategist","bachelor"
"7","Google","supplier development engineer, camera, consumer hardware","Hardware Engineering","Mountain View, CA, United States","Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and more.
Manage project technical and operational issues regarding material, process, fixtures, equipment, etc, during NPI phase.
Utilize DOE’s, FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters.","bs degree in engineering or equivalent practical experience.
10 years of experience in design and manufacturing in a new product introduction (npi) role.
experience in camera manufacturing.","master's degree.
experience in the development of camera module integration processes or other related industries.
experience managing functional engineering teams.
experience in project management including data handling, documentation, critical decision making and organization skills.
knowledge of quality and statistical tools and methods.
self-starter with innovation, integrity and attention to details.","Mountain View"," United States","Full-time",10,"supplier","engineer","bs"
"8","Google","strategic technology partner manager, healthcare and life sciences","Partnerships","Sunnyvale, CA, United States","Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges.","ba/bs degree or equivalent practical experience.
5 years of experience in partner management and/or business development.
experience working with public cloud solutions across software-as-a-service (saas), platform-as-a-service (paas) and infrastructure-as-a-service (iaas) markets.
experience working with technology solutions for the healthcare industry. experience within internal and customer-facing roles.","ba/bs degree in a technical, life sciences or engineering field or equivalent practical experience.
5 years of experience working with a variety of technology systems, designing solutions, or developing applications in healthcare and/or life sciences.
8 years of experience in partnership management and strategy/business development.
background in software engineering and/or product management.
experience managing and growing relationships with cross-functional teams internally and externally.
demonstrated ability to plan and manage at a strategic and operational level, and to launch new products in the marketplace.","Sunnyvale"," United States","Full-time",5,"partner","manager","bs"
"9","Google","manufacturing business manager, google hardware","Manufacturing & Supply Chain","Xinyi District, Taiwan","Develop CM/ODM strategy and implement supplier management processes with critical partners.
Lead the creation and implementation of RFX processes for sourcing needs.
Manage the agreement creation process with the cross-functional program needs in mind.
Manage assigned manufacturing partner to program requirements in cost, quality, schedule and technology areas.
Perform periodic cost improvement ideas in terms of DFM or alternative technology choices.","ba/bs degree in engineering, supply chain or equivalent practical experience.
5 years of related contract manufacturing or business operations experience.
experience leading/managing contract manufacturers and original design manufacturers.
experience with finance and analytics, cost modeling and negotiation experience.","mba degree.
experience in procurement and supply chain.
ability to establish impactful partnerships, interpret legal documents and work with the legal team to complete agreements.
fluency in mandarin and familiarity with international business customs.
willingness to travel in asia 25% of the time and for extended periods as required.","Xinyi District"," Taiwan","Full-time",5,"other","manager","bs"
"10","Google","solutions architect, healthcare and life sciences, google cloud","Technical Solutions","New York, NY, United States","Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.","ba/bs degree in computer science, related software engineering field or equivalent practical experience.
experience working in a cloud computing environment (infrastructure, storage, platforms and/or data).
experience working in a healthcare and/or life science domain, including deploying solutions in healthcare and/or life sciences related it infrastructure.
experience in writing software in one or more languages such as java, python, go, javascript, c++, or similar.","master's degree in computer science, related engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
experience working closely with sales and marketing teams in cloud computing or related technical fields.
understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, apis and formats), security, networking and cloud-based delivery models.
ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information.","New York"," United States","Full-time",0,"cloud","architect","ms"
